players,country,continent
54,Canada,Americas
38,France,Europe
28,Australia,Oceania
27,Germany,Europe
26,Serbia,Europe
18,Brazil,Americas
18,Spain,Europe
18,Croatia,Europe
15,Argentina,Americas
15,Nigeria,Africa
14,Lithuania,Europe
14,Senegal,Africa
13,Bosnia and Herzegovina,Europe
13,United Kingdom,Europe
11,Italy,Europe
11,Russian Federation,Europe
11,Slovenia,Europe
11,Turkey,Asia
10,Greece,Europe
10,Ukraine,Europe
8,Dominican Republic,Americas
8,Jamaica,Americas
8,Puerto Rico,Americas
7,Congo,Africa
7,China,Asia
7,Latvia,Europe
7,Montenegro,Europe
6,Bahamas,Americas
6,Georgia,Asia
6,Netherlands,Europe
6,South Sudan,Africa
5,Cameroon,Africa
5,Czech Republic,Europe
5,Haiti,Americas
4,Belgium,Europe
4,Switzerland,Europe
4,Israel,Asia
4,Japan,Asia
4,Mexico,Americas
4,New Zealand,Oceania
4,Panama,Americas
3,Cuba,Americas
3,Ghana,Africa
3,Guadeloupe,Americas
3,Mali,Africa
3,Poland,Europe
3,Sweden,Europe
3,Virgin Islands (U.S.),Americas
2,Denmark,Europe
2,Egypt,Africa
2,Finland,Europe
2,Gabon,Africa
2,French Guiana,Americas
2,Guinea,Africa
2,Guyana,Americas
2,Lebanon,Asia
2,Macedonia,Europe
2,Romania,Europe
2,Sudan,Africa
2,Trinidad and Tobago,Americas
2,Venezuela,Americas
1,Antigua and Barbuda,Americas
1,Angola,Africa
1,Austria,Europe
1,Bulgaria,Europe
1,Congo,Africa
1,Colombia,Americas
1,Cabo Verde,Africa
1,Cyprus,Asia
1,Dominica,Americas
1,Estonia,Europe
1,Hungary,Europe
1,Ireland,Europe
1,Iran,Asia
1,Iceland,Europe
1,Korea,Asia
1,Saint Lucia,Americas
1,Luxembourg,Europe
1,Morocco,Africa
1,Martinique,Americas
1,Norway,Europe
1,Portugal,Europe
1,Slovakia,Europe
1,Tunisia,Africa
1,Taiwan,Asia
1,Tanzania,Africa
1,Uruguay,Americas
1,Saint Vincent and the Grenadines,Americas
1,Virgin Islands,Americas
1,South Africa,Africa
